ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time (ms)
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,14
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,24
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,35
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,44
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,54
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,64
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,75
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,85
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,94
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,104
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,115
-0.0132,-0.0162,9.9509,-0.0061,-0.0043,-0.0021,124
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,134
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,144
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,155
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,164
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,174
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,185
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,194
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,204
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,215
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,224
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,235
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,245
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,255
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,265
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,276
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,285
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,295
-0.012,-0.0024,9.8887,-0.0099,0.0053,3.00E-04,305
-0.0341,-0.0036,9.9335,-0.0059,-0.0045,-0.0019,315
-0.0341,-0.0036,9.9335,-0.0059,-0.0045,-0.0019,324
-0.0341,-0.0036,9.9335,-0.0059,-0.0045,-0.0019,334
-0.0341,-0.0036,9.9335,-0.0059,-0.0045,-0.0019,345
-0.0341,-0.0036,9.9335,-0.0059,-0.0045,-0.0019,355
-0.0341,-0.0036,9.9335,-0.0059,-0.0045,-0.0019,364
-0.0341,-0.0036,9.9335,-0.0059,-0.0045,-0.0019,374
