ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time (ms)
-0.1377,-0.0036,9.9246,-0.0069,-8.00E-04,-0.0013,6
-0.1377,-0.0036,9.9246,-0.0069,-8.00E-04,-0.0013,20
-0.1377,-0.0036,9.9246,-0.0069,-8.00E-04,-0.0013,26
-0.1377,-0.0036,9.9246,-0.0069,-8.00E-04,-0.0013,36
-0.1377,-0.0036,9.9246,-0.0069,-8.00E-04,-0.0013,45
-0.1377,-0.0036,9.9246,-0.0069,-8.00E-04,-0.0013,56
-0.1377,-0.0036,9.9246,-0.0069,-8.00E-04,-0.0013,69
-0.1377,-0.0036,9.9246,-0.0069,-8.00E-04,-0.0013,75
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,89
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,95
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,108
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,115
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,125
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,138
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,146
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,156
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,165
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,176
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,186
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,195
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,205
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,216
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,226
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,235
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,245
-0.1107,-0.0162,9.9695,-0.0077,-0.0011,-0.0027,256
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,268
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,278
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,286
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,295
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,305
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,315
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,325
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,336
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,346
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,356
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,365
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,375
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,386
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,396
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,405
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,416
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,426
-0.1179,-0.0078,9.8994,-0.0072,-0.0037,-0.0035,436
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,446
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,456
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,466
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,476
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,486
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,496
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,507
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,516
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,526
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,537
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,545
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,556
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,566
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,576
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,586
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,596
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,605
-0.1131,-0.0347,9.9258,-0.0101,-3.00E-04,-0.0037,616
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,625
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,636
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,646
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,656
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,666
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,675
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,686
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,696
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,706
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,716
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,727
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,737
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,746
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,756
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,766
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,776
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,786
-0.1209,-0.0311,9.9539,-0.0072,-8.00E-04,-0.0024,795
-0.1233,-0.0108,9.9282,-0.0067,-0.0032,-0.0013,806
